show_id,show_name,season,season_id,start_date,end_date
90DF,90 Day Fiancé,1,90DF_1,2014-01-12,2014-02-23
90DF,90 Day Fiancé,2,90DF_2,2014-10-19,2014-12-28
90DF,90 Day Fiancé,3,90DF_3,2015-10-11,2015-12-06
90DF,90 Day Fiancé,4,90DF_4,2016-08-22,2016-11-20
90DF,90 Day Fiancé,5,90DF_5,2017-10-08,2017-12-18
90DF,90 Day Fiancé,6,90DF_6,2018-10-21,2019-01-13
90DF,90 Day Fiancé,7,90DF_7,2019-11-03,2020-02-17
90DF,90 Day Fiancé,8,90DF_8,2020-12-06,2021-02-21
90DF,90 Day Fiancé,9,90DF_9,2022-04-17,2022-08-21
B90,90 Day Fiancé: Before the 90 Days,1,B90_1,2017-08-06,2017-10-30
B90,90 Day Fiancé: Before the 90 Days,2,B90_2,2018-08-05,2018-10-14
B90,90 Day Fiancé: Before the 90 Days,3,B90_3,2019-08-04,2019-10-28
B90,90 Day Fiancé: Before the 90 Days,4,B90_4,2020-02-23,2020-06-08
B90,90 Day Fiancé: Before the 90 Days,5,B90_5,2021-12-12,2022-04-10
B90,90 Day Fiancé: Before the 90 Days,6,B90_6,2023-06-04,
TOW,90 Day Fiancé: The Other Way,1,TOW_1,2019-06-03,2019-10-21
TOW,90 Day Fiancé: The Other Way,2,TOW_2,2020-06-08,2020-11-29
TOW,90 Day Fiancé: The Other Way,3,TOW_3,2021-08-27,2021-12-05
TOW,90 Day Fiancé: The Other Way,4,TOW_4,2023-01-29,2023-05-28
TOW,90 Day Fiancé: The Other Way,5,TOW_5,2023-07-10,
HEA,90 Day Fiancé: Happily Ever After?,1,HEA_1,2016-09-11,2016-11-13
HEA,90 Day Fiancé: Happily Ever After?,2,HEA_2,2017-06-25,2017-09-10
HEA,90 Day Fiancé: Happily Ever After?,3,HEA_3,2018-05-20,2018-07-29
HEA,90 Day Fiancé: Happily Ever After?,4,HEA_4,2019-04-28,2019-07-28
HEA,90 Day Fiancé: Happily Ever After?,5,HEA_5,2020-06-14,2020-10-05
HEA,90 Day Fiancé: Happily Ever After?,6,HEA_6,2021-04-25,2021-08-22
HEA,90 Day Fiancé: Happily Ever After?,7,HEA_7,2022-08-28,2023-01-22
TLR,90 Day: The Last Resort,1,TLR_1,2023-08-14,2023-10-02